,text,label,clean_teks
144,Salah satu yg paling terdampak dr ambisi industri bateri mobil listrik adalah satwa endemik Halmahera Hutan primer yg biasa jadi ruang hidupnya hilang digantikan bangunan smelter Pd titik ini msh menganggap itu baik2nya saja Konyol,Negative,salah dampak ambisi industri bateri mobil listrik satwa endemik halmahera hutan primer ruang hidup hilang ganti bangun smelter pd titik anggap baik konyol
145,Ga SADAR  sampai saat ini kita masih dijajah Jepang dengan Mobil-Mobil buatannya Mobil buatan jepang yang menyedot BBM subsidi uang negara baru stelah dipaksa negara baru mau keluarkan mobil listrik Punya KCIC adalah kebanggaan kita seb,Negative,sadar jajah jepang mobilmobil buat mobil buat jepang sedot bbm subsidi uang negara stelah paksa negara keluar mobil listrik kcic bangga seb
146,Beneran pas liat konten Mas Hansol yang bahas Mobil listrik dia itu udah naksiiirrr bgt mau punya mobil listrik huhu usah mah hemat banyak plus nya juga pokonya keren bgtttt,Positive,beneran pas lihat konten mas hansol bahas mobil listrik naksiiirrr banget mobil listrik huhu mah hemat plus poko keren bgtttt
147,"Ternyata nyaman juga woi pake mobil listrik,  ga berisik trus alus pula suaranya",Positive,nyaman woi pakai mobil listrik berisik alus suara
148,Say bye buat bensin sama polusi sih kalo pake mobil listrik,Positive,say bye bensin polusi sih pakai mobil listrik
149,Manifesting nabung buat beli Mobil listrik wkwk :b,Positive,manifesting nabung beli mobil listrik wkwk bb
150,Keren bgt sih gw kata ni Mobil listrik ga ada yang ngalahin gayanya huhu,Positive,keren banget sih ni mobil listrik kalah gaya huhu
151,Dinamakan Citro mobil SUV bertenaga listrik full baterai ini bakal menjadi penantang bagi Toyota bZ4X Terlebih harga keduanya beda tipis,Positive,nama citro mobil suv tenaga listrik full baterai tantang toyota bzx harga beda tipis
152,Bbm ngikuti harga minyak dunia makanya dunia berlomba2 bikin mobil listrik kadrun mana mau mikir begitu maunya naik onta saja kaya jaman jahiliyah ,Positive,bbm ngikuti harga minyak dunia dunia lomba bikin mobil listrik kadrun berfikir mau onta kaya jaman jahiliyah
153,Pemangku kepentingan angkutan publik harusnya ceburin kesini biar kegerak buat benerin Bukannya malah mikirin motor/mobil listrik yang sarat konflik kepentingan,Negative,mang penting angkut publik ceburin kesini biar gerak benerin pikir motormobil listrik sarat konflik penting
154,Masih ada yg minat beli mobil/motor listrik,Negative,minat beli mobilmotor listrik
155,Sepeda Lebih Efisien dibanding Mobil Listrik,Negative,sepeda efisien banding mobil listrik
156,Bukan rich tp lebih ke personal habit ditunjang dengan sarana dan kebijakan pemerintahan yang baik,Positive,rich personal habit tunjang sarana bijak perintah
157,Cuk cukBikin STB box tv ae buatan china  gaya e kemelipen  bikin batrey motor dan mobillistrik saja ngga mampu  ngimpi jadi negara maju,Negative,cuk cukbikin stb box televisi ae buat china gaya e kemelipen bikin batrey motor mobillistrik mimpi negara maju
158,Meskipun capek habis syuting bisa nyobain mobil listrik aja udah membuat mood ini senanggg ,Positive,capek habis syuting nyobain mobil listrik mood senanggg
159,Gunakan mata batinmuIndonesia terdepan di dunia yg mana semua andelkan mobil listrikpemeritah temukan mbil tanpa fisik sampai smart farming lahan auto kultivar,Positive,mata batinmuindonesia depan dunia andelkan mobil listrikpemeritah temu mbil fisik smart farming lahan auto kultivar
160,Biaya yang dikeluarkan mobil listrik lebih rendah lima kali lipat dibandingkan kendaraan konvensional,Positive,biaya keluar mobil listrik rendah kali lipat banding kendara konvensional
161,kaya mobil listrik yg ramah banget sama lingkungan,Positive,kaya mobil listrik ramah banget lingkung
162,Gmana mo bli mobil listrik kalo hujan dikit mati lampu,Negative,gmana bli mobil listrik hujan mati lampu
163,Urus dulu IKN Bangun yg bener jgn dulu MimpiMobil Listrik aja blm,Negative,urus ikn bangun bener mimpimobil listrik
164,mobil listrik solusinya,Positive,mobil listrik solusi
165,Andaikan bsa beli mobil listrik pasti udah beli sih soalnya bener2 idaman banget pnya mobil listrik tuh Ramah lingkungan jga,Positive,andai beli mobil listrik beli sih bener idam banget mobil listrik tuh ramah lingkung
166,Harus banyak pihak yang mendukung pengadaan motor atau mobil listrik juga biar semakin ringan lagi beban emisinya,Positive,dukung ada motor mobil listrik biar ringan beban emisi
167,Moga mkin banyak bank lain juga yang ikut mendukung pengadaan mobil listrik dan kendaraan listrik lain d Indonesia,Positive,moga mkin bank dukung ada mobil listrik kendara listrik d indonesia
168,Mobil listrik rerata udah smart Tinggal yg punyanya gimana,Positive,mobil listrik rerata smart tinggal punya
169,Ready mobil listrik minat dm bonus charger xiaomi 2A sm temper glass,Positive,ready mobil listrik minat dm bonus charger xiaomi a temper glass
170,wkwkwkwk kalo mau serba listrik kaya mobil listrik atau kompor listrik mah minimal banget nih ya jangan ada mati lampu lagi wkwk nyusahin rakyat aja,Negative,wkwkwkwk serba listrik kaya mobil listrik kompor listrik mah minimal banget nih ya mati lampu wkwk nyusahin rakyat
171,Oo jadi desain mobil listrik yg kubilang bentuknya mirip alien itu disebut sebagai desain futuristik,Negative,oo desain mobil listrik bilang bentuk alien desain futuristik
172,Motor listrik atau mobil listrik ga usah pake listrik pake aja powerbank ,Negative,motor listrik mobil listrik pakai listrik pakai powerbank
173,Top News Koran Rakyat Merdeka,Positive,top berita koran rakyat merdeka
174,Im so proud of me yang bisa nawar kost dari harga 850k/bulan jadi 500k/bulan dengan strategi bayarnya per 3 bulan wkwkwk,Positive,im proud of me nawar kos harga kbulan kbulan strategi bayar
175,Menurut Project General Manager Toyota Daihatsu Engineering amp,Positive,project general manager toyota daihatsu engineering amp
176,Itu pabrik jepang drpd lomba bikin mobil listrik mendingan lomba bikin pintu kmn saja ato ga minimal baling2 bambu,Negative,pabrik jepang lomba bikin mobil listrik mending lomba bikin pintu mana ato minimal baling bambu
177,duh gmn nasib klo yg,Negative,duh nasib
178,Travel kan rangenya jauh Sama kayak mobil listrik ketika jarak makin jauh selisih kehematannya bakal berkurang bahkan hampir sama apalagi full toll Keuntungan punya mobil listrik/hybrid itu emg di dalem kota yg banyak stop and go Regenera,Positive,travel rangenya mobil listrik jarak selisih hemat kurang full toll untung mobil listrikhybrid emang dalem kota stop and go regenera
179,Kita masih khwatir supporting infrastruktur nya Indonesia blom siap Stasiun Pengisian charger emergency charging servis dr pihak produsen Skrg mobil listrik masih menjadi mobil kedua utk dlm kota aja Yg bisa gitu baru horan,Positive,khwatir supporting infrastruktur indonesia stasiun isi charger emergency charging servis produsen mobil listrik mobil kota horan
180,Mulai dari Identifikasi Warga Digital Perizinan Digital Autonomous Bus Mobil Terbang Polusi Bisa Diatur Pakai Energi Terbarukan Kendaraan Listrik Green Building hingga Monitoring Kehidupan di Hutan,Positive,identifikasi warga digital izin digital autonomous bus mobil terbang polusi atur pakai energi baru kendara listrik green building monitoring hidup hutan
181,Menurut gue tunggu aja toh mobil g butuh butuh banget kan Ditabung dulu aja bunga bank makin tinggi bro  sayang xixiix Toh ntar kalau udah ditabung bisa beli mobil model baru xixix yaa minimal yang listrik,Negative,tunggu mobil butuh butuh banget tabung bunga bank bro sayang xixiix tabung beli mobil model xixix yaa minimal listrik
182,Lexus mau membuat mobil listrik jadi lebih fun to drive dengan mengembangkan transmisi manual untuk mobil listrik,Positive,lexus mobil listrik fun drive kembang transmisi manual mobil listrik
183,Zaman Soeharto Negara Ini tidak Seribet Zaman Set Top Box Sama Mobil Motor Listrik deh,Positive,zaman soeharto negara seribet zaman set top box mobil motor listrik deh
184,Ternyata rezim ini isinya makelar semua dari infrastrukur vaksin kompor mobil motor listrik sampe pulau juga dijual,Negative,rezim isi makelar infrastrukur vaksin kompor mobil motor listrik pulau jual
185,Usulan yang aneh hahaha,Positive,usul aneh
186,Serius mobil listrik sehemat itu kalau dibandingkan dengan mobil bensin ,Positive,serius mobil listrik hemat banding mobil bensin
187,Jelas pejabatnya terlalu sibuk Sibuk bangun dinasti lokal miara ormas demi karir politik dandan persona di internet bikin taman useless sama ngusir warga dr lahannya buat pengusaha apartemen atau PT KAI Transportasi publik apaan tuh,Negative,jabat sibuk sibuk bangun dinasti lokal miara ormas karir politik dandan persona internet bikin taman useless ngusir warga lahan usaha apartemen pt kai transportasi publik tuh
188,Klo rice cooker sih kayaknya udah banyak yg punya ya Bagi2 mobil listrik bisa kalik Minimal Tesla lah,Negative,rice cooker sih kayak ya mobil listrik kalik minimal tesla
189,Bales Aja Sorry aku lagi nabung mau beli mobil listrik,Negative,balas sorry nabung beli mobil listrik
190,Mengintip Mobil Listrik Multiguna Elegan dan Stylish made ini ITS Simak Yuk,Positive,intip mobil listrik multiguna elegan stylish made its simak yuk
191,siapa yang tau nanti ada baterai tony stark yg nanti dipake di setiap mobil listrik,Negative,tau baterai tony stark pakai mobil listrik
192,PLN oversupply daya karena dipaksa beli listrik dari pengembang listrik swasta yg sebagian besar berupa PLTU berbahan batubara meskipun sudah kelebihan daya Namanya skema TOP Take or Pay Maka jangan heran kal,Positive,pln oversupply daya paksa beli listrik kembang listrik swasta pltu bahan batubara lebih daya nama skema top take or pay heran kal
193,Liburan Natal Tahun Baru 2023 Pakai Mobil Listrik Model Mana yang Cocok: Liburan Natal dan Tahun Baru 2023 menggunakan mobil listrik menjadi pilihan menarik Berikut pilihan mobil listrik ideal untuk jalanjalan selama libur Nataru mendatang,Positive,libur natal pakai mobil listrik model cocok libur natal mobil listrik pilih tarik pilih mobil listrik ideal jalanjalan libur nataru
194,Sudah pada inovasi mobil listrik baterai fast charging dll  Biarin aja,Positive,inovasi mobil listrik baterai fast charging lain biarin
195,mereka eropa yg ngotot green energy menganjurkan semua negara mengadopsi mobil listrik solar energy dsb Kita yg punya SDA  cuma dikasih untung dikit dengan jualan bahan mentah jangan mau lahh SDA kita kenapa jadi mereka yg ngatur,Negative,eropa ngotot green energy anjur negara adopsi mobil listrik solar energy sda kasih untung jual bahan mentah lahh sda atur
196,Top 5 News: Dari Insentif Mobil Listrik Leasing Hingga Migas,Positive,top berita insentif mobil listrik leasing migas
197,Mobil Listrik Wuling Air EV Raih Penghargaan Katadata Green Initiative Awards,Negative,mobil listrik wuling air ev raih harga katadata green initiative awards
198,Cadangan bahan baku battery dunia tidak akan mampu mencukupi kebutuhan produksi mobil/motor listrik Karena propaganda green energy itu halu dari EG,Negative,cadang bahan baku battery dunia cukup butuh produksi mobilmotor listrik propaganda green energy halu eg
199,Perusahaan saya juga lagi berusaha masukin ev charging buat mobil listrik aja regulasinya super ribet Jadinya sekarang sistemnya terpaksa beli roti baru dapet voucher buat ngecas mobil soalnya belum dapet izin buat jual kwh/jam,Positive,usaha usaha masukin ev charging mobil listrik regulasi super ribet sistem paksa beli roti dapet voucher ngecas mobil dapet izin jual kwhjam
200,Tetep ga go green dong pakdeklo tetep ngeruk SDA tambang kita,Negative,go green pakdeklo ngeruk sda tambang
201,Just wow nganter anak mbak aku dikasih ijin nyoba mobil listrik ke RS Pas diparkiran satpam Mbak khusus mobil ini parkir disana,Positive,just wow antar anak mbak kasih izin nyoba mobil listrik rs pas parkir satpam mbak khusus mobil parkir sana
202,Kebakaran hutan illegal logging proyek2 penebangan hutan menyebabkan perubahan iklim Tenang solusinya mobil listrik utk menunda perubahan iklim,Negative,bakar hutan illegal logging proyek tebang hutan sebab ubah iklim tenang solusi mobil listrik tunda ubah iklim
203,Rumah kiara green pesantren aruman gunung batu cibabat,Negative,rumah kiara green pesantren aruman gunung batu cibabat
204,Kalau go green yang seharusnya semua mobil diatas 5 tahun ditukar sama mobil listtik kan kebanyakan sdh berasap tuh,Negative,go green mobil atas tukar mobil listtik banyak asap tuh
205,Coba bikin angkanya selama 8 tahun antara mobil listrik dan konvensional pemakaian normal 50km per hari termasuk hitung deprsiasi biaya maintenance pajak instalasi listrik dll,Positive,coba bikin angka mobil listrik konvensional pakai normal hitung deprsiasi biaya maintenance pajak instalasi listrik lain
206,Knp kndaraan pribd dsubsidi Harusny kbutuhn dn transprtsi pblik yg dsubsd Smua transprtsi pblik hrs bralih ke listrik dl Enk ya jmn jkwbs jd pjbt pngambil kbijakn rngkp pemain Musim covid main vksin dn pcr Musim energi lstrik main mtr dn m,Positive,kendara pribd dsubsidi harusny kbutuhn transprtsi pblik dsubsd transprtsi pblik bralih listrik enak ya jaman jkwbs pjbt pngambil kbijakn rngkp main musim covid main vksin acar musim energi lstrik main motor m
207,Wuling Punya SUV yang Jadi Rival Suzuki Jimny Tapi Mesinnya Full Listrik: Baojun subbrand Wuling terciduk sedang mengetes mobil listrik SUV mungil baru di Tiongkok Mobil ini digadanggadang cocok jadi rival Suzuki Jimny,Positive,wuling suv rival suzuki jimny mesin full listrik baojun subbrand wuling ciduk ketes mobil listrik suv mungil tiongkok mobil digadanggadang cocok rival suzuki jimny
208,Wuling Perkenalkan Mobil Listrik Mini Serba Pink Nan Imut,Negative,wuling kenal mobil listrik mini serba pink nan imut
209,Motor/mobil listrik apa bisa dilipet trus masuk tas Pikirin space parkingnya juga limbah batrenya gmn Udah paling bener subsidi transportasi publik dan long live combustion engine,Positive,motormobil listrik dilipet masuk tas pikirin space parkingnya limbah batrenya bener subsidi transportasi publik long live combustion engine
210,Yang suka dilupakan Utk mobil listrik brp kapasitas minimal listrik di rumah,Negative,suka lupa mobil listrik kapasitas minimal listrik rumah
211,MINI John Cooper Works itu dia mobil listrik yang sempat mencuri perhatianku Besutannya elegan identik dengan VW New Beetle kesayanganku,Positive,mini john cooper works mobil listrik curi perhati besut elegan identik vw new beetle sayang
212,Berkunjung ke xEV Center Tempat Pembelajaran Mobil Listrik Toyota di Indonesia,Negative,kunjung xev center ajar mobil listrik toyota indonesia
213,Mobil listrik worth di gunakan untuk jarak dekat,Positive,mobil listrik worth jarak
214,Wow Ingin saingi Tesla Sony dan Honda kolaborasi akan tanam PlayStation 5 PS5 di mobil listriknya,Positive,wow saing tesla sony honda kolaborasi tanam playstation ps mobil listrik
215,Los Angeles Auto Show 2022 berlangsung minggu ketiga November dengan tema utama kendaraan listrik terbaru dan berteknologi tinggi Mobil listrik yang tampil mencakup mobil kecil dengan harga terjangkau hingga mobil besar dan mobil super mewah,Positive,los angeles auto show minggu tiga november tema utama kendara listrik baru teknologi mobil listrik tampil cakup mobil harga jangkau mobil mobil super mewah
216,Wah Selandia Baru ini ga modern jamannya mobil listrik kok masih pake sepeda,Positive,selandia modern jaman mobil listrik pakai sepeda
217,Ikut satu udah dilakuin di Norway Jd kl beli mobil listrik dapet diskon macem2 dr toll parking free charging dll Skrg katanya udah nyaris 90 cars in norway are EV Ã°Å¸Â¤Â©,Positive,dilakuin norway kl beli mobil listrik dapet diskon macem toll parking free charging lain cars in norway are ev
218,Crazy Rich Surabaya Steven Ndut hendak memborong lima mobil listrik Keinginannya itu diunggah melalui unggahan di Instagramnya,Negative,gila rich surabaya steven ndut borong mobil listrik ingin unggah unggah instagramnya
219,Mobil Listrik Wuling Dimahkotai Katadata Green Initiative Awards,Negative,mobil listrik wuling mahkota katadata green initiative awards
220,Mobil listrik nggak green green amat Listriknya masih dari fosil mengotori wilayah tertentu dan baterei rusaknya entah dikubur dimana,Negative,mobil listrik green green listrik fosil kotor wilayah baterei rusak kubur mana
221,Wkwkwk bila logika absurd Tukang Hasut Profesional Berbayar bervisi menjilat rezim pemerintahan acakadut Lupa bgmn lantang mencuit provokatif kriminalisasi kan Dahlan Iskan yg babat alas proyek mobil listrik dulu A,Negative,logika absurd tukang hasut profesional bayar visi jilat rezim perintah acakadut lupa lantang cuit provokatif kriminalisasi dahlan iskan babat alas proyek mobil listrik a
222,Battery mobil listrik itu super mahal dan setelah 23th harus ganti battery baru letak/adanya di dek bawah dan gak bisa montir di Indoensia Semua bengkel yg mengganti battery harus dari perusahan pembuatnya Kalau mogok juga montir angkat t,Positive,battery mobil listrik super mahal th ganti battery letakadanya dek montir indoensia bengkel ganti battery usah buat mogok montir angkat t
223,Lagian yah pak Mobil/motor listrik itu jg meski skrg Mash dikit SPBUnya  tp dia punya SPB Private sndiri yaitu di rumahnya sndiri bahkan sampe full charge dgn harga per KWH msh lbh murah dr SPBU,Positive,yah mobilmotor listrik spbunya spb private rumah full charge harga kwh murah spbu
224,Urgensi pengadaan mobil listrik adalah untuk kenyamanan pejabat biar kalau macet minimal ga berisik Nice try pak ,Positive,urgensi ada mobil listrik nyaman jabat biar macet minimal berisik nice coba
225,subsidi bbm/listrik dikurangi alasan bikin jebol anggaran ok fine,Positive,subsidi bbmlistrik rang alas bikin jebol anggar ok fine
226,Sya check Mobil Listrik ini disamping agak mahal juga charge nya  harus dgn daya listrik minimum 3000W dicharge sampai 8 jam baru full utk jalan +/ 200km  batrei nya jg mahal bijimana ini,Negative,cek mobil listrik samping mahal charge daya listrik minimum dicharge jam full jalan batrei mahal bijimana
227,Berita tentang IKN ini ya seputaran ky gini sajaTeknologi mobil terbangmobil listriktempat peluncuran satelitbla bla blaGak pernah dengar grand design tentang pemerataan ekonomi buat rakyatnya,Negative,berita ikn ya putar sajateknologi mobil terbangmobil listriktempat luncur satelitbla bla blagak dengar grand design perata ekonomi rakyat
228,Seperti perintah suara berbahasa Indonesia Wuling remote control app via Internet of Vehicle Advanced Driver Assistance System sampai dengan inovasi mobil listrik dan hybrid yang sudah bisa dinikmati oleh konsumen di seluruh kota di Indonesia,Positive,perintah suara bahasa indonesia wuling remote kontrol app via internet of vehicle advanced driver bantu system inovasi mobil listrik hybrid nikmat konsumen kota indonesia
229,Haha lg rencanakan bisnis motor listrik ya Mobil listrik kelamaan ya,Negative,haha rencana bisnis motor listrik ya mobil listrik ya
230,Subsidi motor listrik gk ada yg salah kok drpd duitnya buat subsidi BBM toh jauh lebih besar subsidi BBM di negara lain bahkan ada yg mobil listrik bebas pajak Kendaraan listrik banyak kasih manfaat selain bebas emisi subsidi BBM past,Negative,subsidi motor listrik salah duit subsidi bbm subsidi bbm negara mobil listrik bebas pajak kendara listrik kasih manfaat bebas emisi subsidi bbm past
231,Kayanya  ingin mengedepankan mobil listrik Astute atau magnum saber cocok kayanya,Positive,kaya depan mobil listrik astute magnum saber cocok kaya
232,motor/sepeda listrik go green mobil gmn ya,Negative,motorsepeda listrik go green mobil ya
233,2030 kesana harusnya indonesia  juga setidaknya juga bisa jadi negara super power kalo memang  selur negara transisi ker mobil listrik,Positive,kesana indonesia negara super power selur negara transisi ker mobil listrik
234,Hal itu ditunjukkan Pertamina dg menyediakan produkproduk BBM ramah lingkungan seperti Pertamax Series dan Dex Series serta Charging Station untuk mobil dan bus listrik serta 57 SPBU Green Energy Station yang tersebar di Bali,Negative,pertamina sedia produkproduk bbm ramah lingkung pertamax series dex series charging station mobil bus listrik spbu green energy station sebar bal
235,Elon Musk mengumumkan perusahaan mobil listrik miliknya Tesla telah menghadirkan sistem Full SelfDriving untuk konsumen Amerika Utara Namun sistem itu masih versi beta belum versi matangnya,Positive,elon musk umum usaha mobil listrik milik tesla hadir sistem full selfdriving konsumen amerika utara sistem versi beta versi matang
236,Produk terbaru dari kaca film ICEu diklaim ramah lingkungan dan cocok untuk kendaraan modern termasuk mobil listrik,Positive,produk baru kaca film iceu klaim ramah lingkung cocok kendara modern mobil listrik
237,Pertamina dukung KTT G20 di Bali melalui penyediaan green Energy Station atau produk BBM ramah lingkungan Produk ini seperti Pertamax series dex series dan charging station untuk kendaraan mobil dan bus listrik,Negative,pertamina dukung ktt bal sedia green energy station produk bbm ramah lingkung produk pertamax series dex series charging station kendara mobil bus listrik
238,aktif ko ada video baru tuh Blind Date di mobil listrik nonton deh?,Negative,aktif ko video tuh blind tanggal mobil listrik nonton deh
239,The power of basabasi Bpk ini udah bikin alat sendiri buat turbo charger mobil Fast power system Belum daftar HAKI ini itu dll tidak dijual umum tp udah dibajak Orang teknik kimia yang malah ahli mesin Masih inget Pak Dahlan bikin mobil listrik konon beliau mekaniknya,Negative,the power of basabasi bikin alat turbo charger mobil fast power system daftar hak lain jual bajak orang teknik kimia ahli mesin dahlan bikin mobil listrik konon beliau mekanik
240,Yang menarik min mobil listrik sekali pake yang rasanya sia sia cuma buat ala ala go green,Negative,tarik min mobil listrik pakai sia sia ala ala go green
241,Wow Wuling Kenalkan Mobil Listrik Mungil Cek Harga di Sini,Positive,wow wuling kenal mobil listrik mungil cek harga
242,Mobil Listrik MEvITS Ramaikan Tren EV Stylish dengan Tenaga 20 Kwh,Positive,mobil listrik mevits ramai tren ev stylish tenaga kwh
243,bukan mobil listrik ini lmpv 7 seater sekelas avanza sm xpander tapi bentuknya bener2 cyber bgt kayak mobil 1 miliar n i love it?,Positive,mobil listrik lmpv seater kelas avanza xpander bentuk bener cyber banget mobil miliar n i love it
244,SUPER CAR BUATAN AFGHANISTAN NIH BOSS SENGGOL DONK  via tanpa ba bi bu Pemerintah Thaliban berhasil membuat mobil listrikluar biasa,Positive,super car buat afghanistan nih boss senggol via ba bi bu perintah thaliban hasil mobil listrikluar
245,Udah era mobil listrik tapi tarikan mesin Diesel masih ok juga ,Positive,era mobil listrik tari mesin diesel ok
246,ga bisa dirasakan bisanya dikendarai wwkwk so far namanya mobil listrik enaknya di torsinya digas ga delay ya maklum namanya moblis ga ada suara nyaman,Positive,rasa bisa kendara wwkwk far nama mobil listrik enak torsi gas delay ya maklum nama moblis suara nyaman
247,Kyk klo punya mobil trs kehabisan listrik brti ngedorong sorry to say tpi manusia tuh dilahirkan pke logika masa kyk gitu ga bisa mikir,Negative,mobil habis listrik brti ngedorong sorry say manusia tuh lahir pakai logika berfikir
248,Nambah 10jt buat beli mobil listrik yang free les bahasa mandari udah dapet 2 bu,Positive,tambah jt beli mobil listrik free les bahasa mandar dapet bu
249,Pertamina menyediakan setidaknya 57 SPBU Green Energy Station SPBU GES yg menyediakan produkproduk BBM ramah lingkungan seperti Pertamax Series dan Dex Series serta Charging Station untuk mobil dan bus listrik serta tujuh Battery Swapping Station untuk motor listrik,Negative,pertamina sedia spbu green energy station spbu ges sedia produkproduk bbm ramah lingkung pertamax series dex series charging station mobil bus listrik tujuh battery swapping station motor listrik
250,Mobil All New Kijang Innova Zenix Hybrid merupakan mobil yang beroperasi dengan dua tenaga yaitu tenaga listrik dan bensin Tenaga yang dipakai secara maksimal adalah tenaga dari bensin,Positive,mobil all new kijang innova zenix hybrid mobil operasi tenaga tenaga listrik bensin tenaga pakai maksimal tenaga bensin
251,mobil listrik kalo dicharge ga full bisa ngedrop batrenya gk ya,Positive,mobil listrik dicharge full ngedrop batrenya ya
252,Wuling New Cortez: Tangguh dan stylish,Positive,wuling new cortez tangguh stylish
253,Esemka itu sama kek Indosat ga penting buat rakyat yg lebih penting ambil alih Freeport dan kembangin mobil listrik sm Green Energi paham kau Droen,Negative,esemka indosat rakyat ambil alih freeport kembangin mobil listrik green energi paham kau droen
254,Random bngt mimpi semalam ajg mimpi naik wuling air ev di tengah jalan batrenya drop dari 100 langsung abis tiba2 terus manggil salesnya kan malah disuruh beli batre baru mahal,Negative,random bngt mimpi malam ajg mimpi wuling air ev jalan batrenya drop langsung habis manggil salesnya suruh beli baterai mahal
255,wow ini sih keren pertamina selaku operator distribusi BBM mendukung kampanye ramah lingkungan dengan menyediakan port charging station di bali,Positive,wow sih keren pertamina operator distribusi bbm dukung kampanye ramah lingkung sedia port charging station bal
256,Wow Resmi Harga BBM Turun Irit Mana Operasional Mobil Listrik Dibandingkan Kendaraan BBM Cek di Sini,Positive,wow resmi harga bbm turun irit operasional mobil listrik banding kendara bbm cek
257,Bersama dengan Forkopimda Kabupaten Kulonprogo menghadiri kegiatan Multi Stakeholder Forum 2022 di hotel Grand Dafan Signature Internasional yang diadakan oleh PT PLN Persero UP3 Yogyakarta sekaligus mencoba mobil listrik dari hotel dafam menuju depan Pemda Kab Kulonprogo,Positive,forkopimda kabupaten kulonprogo hadir giat multi stakeholder forum hotel grand dafan signature internasional ada pt pln persero up yogyakarta coba mobil listrik hotel dafam pemda kab kulonprogo
258,Mobil listrik rancangan UAD SEVADA 1 Smart Electric Vehicle of Ahmad Dahlan sukses tampil di gelaran Muktamar Muhammadiyah dan Ã¢â‚¬ËœAisyiyah ke48 dengan dinaiki oleh Gubernur Jawa Tengah Ganjar Pranowo 19112022 Selengkapnya di,Positive,mobil listrik rancang uad sevada smart electric vehicle of ahmad dahlan sukses tampil gelar muktamar muhammadiyah aisyiyah naik gubernur jawa ganjar pranowo lengkap
259,Lini Premium Great Wall Motors Daftarkan Desain Mobil Listrik di Indonesia Mecha Dragon Siap Diluncurkan,Positive,lini premium great wall motors daftar desain mobil listrik indonesia mecha dragon luncur
260,Kapolres Kulonprogo AKBP Muharomah Fajarini SH SIK menghadiri kegiatan Multi Stakeholder Forum 2022 di hotel Grand Dafan Signature Internasional yang diadakan oleh PT PLN Dan sekaligus mencoba mobil listrik dari hotel dafam menuju depan Pemda Kabupaten Kulonprogo,Positive,kepala polisi resor kulonprogo akbp muharomah fajarini sh sik hadir giat multi stakeholder forum hotel grand dafan signature internasional ada pt pln coba mobil listrik hotel dafam pemda kabupaten kulonprogo
261,temen ada yg punya mobil listrik daftar grabcar motivasinya cuman buat pamer mobil wkwkwkwk,Negative,temen mobil listrik daftar grabcar motivasi pamer mobil wkwkwkwk
262,Hadir Dengan Inovasi Canggih dan Fitur Modern Benarkah Wuling Air ev  Mobil Listrik Buatan Indonesia,Positive,hadir inovasi canggih fitur modern wuling air ev mobil listrik buat indonesia
263,Sejak awal tahun sampai Oktober 2022 Wuling Air EV Long Range menjadi mobil listrik dengan penjualan wholesale tertinggi di pasar domestik,Positive,oktober wuling air ev long range mobil listrik jual wholesale tinggi pasar domestik
264,Makanya skrg gencar bgt mobil listrik sudah kebaca arah dan tujuan nya :,Negative,gencar banget mobil listrik baca arah tuju
265,mobil pph gue pada jamannya udah upgrade jadi hybrid tp w lebih prefer yg full Listrik sih klo sekarang,Positive,mobil pph jaman upgrade hybrid prefer full listrik sih
266,"Tidur di mobil banyak bintang ceilah,  LISTRIK RUMAH BLM NYALA DAN GW TAKUT BGT TIDUR DDLM KRN GEMPA SUSULAN NYA BANYAK",Negative,tidur mobil bintang ceilah listrik rumah nyala takut banget tidur dalam gempa susul
267,Buzzer juga yg bikin inden mobil listrik berbulan bulan Rindu berkuasa,Negative,buzzer bikin inden mobil listrik bulan rindu kuasa
268,Subsidi transjakarta dan anggaran jalur sepeda dipotong sedangken mobil listrik bebas ganjirgenap ngeeeeeeeeeng,Negative,subsidi transjakarta anggar jalur sepeda potong sedangken mobil listrik bebas ganjirgenap ngeeeeeeeeeng
269,Bukannya mobil listrik butuh batubara ya wkwkwkwk,Negative,mobil listrik butuh batubara ya wkwkwkwk
270,Andai anggarkan penyediaan mobil listrik daripada Balapan Mobil Listrik Jakarta akan berkurang Polusinya minimal anggaran Bensin dan Solar bisa dihemat tapi krn suka Proyek Mercusuar jadilah DKI blm berubah menjadi kota dgn,Negative,andai anggar sedia mobil listrik balap mobil listrik jakarta kurang polusi minimal anggar bensin solar hemat suka proyek mercusuar dki ubah kota
271,Kalo nantinya semua mobil pake listrik pohon2 nafas pake apa karena gak ada CO2 lg,Negative,mobil pakai listrik pohon nafas pakai cowok
272,Wow bukan lagi mobil listrik tapi mobil terbang. Kerjasama Hyundai dan indonesia,Positive,wow mobil listrik mobil terbang kerjasama hyundai indonesia
273,Luar biasa pak dhe jok inibahkan mobil listrik baru ada di jaman pak dhe jokpresiden soekarno ngapain ajamantaaap,Positive,dhe jok inibahkan mobil listrik jaman dhe jokpresiden soekarno ngapain ajamantaaap
274,Ada banyak cara untuk meras rakyat,Negative,ras rakyat
275,Fix ada bisnis dibalik mobil listrik ini,Negative,fix bisnis balik mobil listrik
276,Trik marketing dr harganya target mobil listrik adalah orang2 kaya Biar laku dibuat Kebijakan nda masuk akal secara ukuran bodi mobil listrik amp,Negative,trik marketing harga target mobil listrik orang kaya biar laku bijak nda masuk akal ukur bodi mobil listrik amp
